geolocation_zip_code_prefix,geolocation_city,geolocation_state
1035,sao paulo,SP
1009,sao paulo,SP
1033,sao paulo,SP
1040,sao paulo,SP
1026,são paulo,SP
1031,sao paulo,SP
1001,sao paulo,SP
1026,sao paulo,SP
1009,são paulo,SP
1031,são paulo,SP
1035,são paulo,SP
1040,são paulo,SP
1033,são paulo,SP
1001,são paulo,SP
1155,sao paulo,SP
1155,são paulo,SP
1134,são paulo,SP
1134,sao paulo,SP
1214,sao paulo,SP
1257,sao paulo,SP
1258,sao paulo,SP
1258,são paulo,SP
1229,sao paulo,SP
1218,são paulo,SP
1239,sao paulo,SP
1201,sao paulo,SP
1229,são paulo,SP
1218,sao paulo,SP
1212,são paulo,SP
1239,são paulo,SP
1214,são paulo,SP
1212,sao paulo,SP
1255,sao paulo,SP
1257,são paulo,SP
1201,são paulo,SP
1255,são paulo,SP
1303,sao paulo,SP
1321,sao paulo,SP
1307,sao paulo,SP
1319,são paulo,SP
1316,sao paulo,SP
1307,são paulo,SP
1319,sao paulo,SP
1320,sao paulo,SP
1321,são paulo,SP
1316,são paulo,SP
1320,são paulo,SP
1303,são paulo,SP
1307,sao bernardo do campo,SP
1403,são paulo,SP
1403,sao paulo,SP
1451,sao paulo,SP
1433,são paulo,SP
1433,sao paulo,SP
1434,sao paulo,SP
1451,são paulo,SP
1412,são paulo,SP
1412,sao paulo,SP
1434,são paulo,SP
1526,sao paulo,SP
1526,são paulo,SP
1511,sao paulo,SP
1532,sao paulo,SP
1543,sao paulo,SP
1546,são paulo,SP
1550,sao paulo,SP
1545,sao paulo,SP
1508,sao paulo,SP
1546,sao paulo,SP
1547,sao paulo,SP
1532,são paulo,SP
1543,são paulo,SP
1508,são paulo,SP
1511,são paulo,SP
1545,são paulo,SP
1550,são paulo,SP
2019,sao paulo,SP
2012,sao paulo,SP
2034,sao paulo,SP
2022,são paulo,SP
2066,sao paulo,SP
2030,sao paulo,SP
2022,sao paulo,SP
2016,sao paulo,SP
2066,são paulo,SP
2034,são paulo,SP
2016,são paulo,SP
2019,são paulo,SP
2012,são paulo,SP
2030,são paulo,SP
2178,são paulo,SP
2112,são paulo,SP
2178,sao paulo,SP
2111,sao paulo,SP
2111,são paulo,SP
2112,sao paulo,SP
2274,sao paulo,SP
2242,sao paulo,SP
2258,sao paulo,SP
2242,são paulo,SP
2266,são paulo,SP
2274,são paulo,SP
2266,sao paulo,SP
2258,são paulo,SP
2252,sao paulo,SP
2252,são paulo,SP
2377,sao paulo,SP
2350,sao paulo,SP
2378,são paulo,SP
2310,sao paulo,SP
2378,sao paulo,SP
2350,são paulo,SP
2310,são paulo,SP
2377,são paulo,SP
2410,sao paulo,SP
2443,são paulo,SP
2443,sao paulo,SP
2410,são paulo,SP
2537,sao paulo,SP
2537,são paulo,SP
2712,sao paulo,SP
2710,sao paulo,SP
2722,sao paulo,SP
2724,sao paulo,SP
2738,são paulo,SP
