product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46,250,1,154,18,9,15
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,38,1176,3,15350,47,40,47
bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42,303,2,1300,25,16,25
adf591c625cb265c12bc6749d3a2f757,beleza_saude,60,1146,6,150,20,24,33
f9471562478eba8761bc985b968a0092,utilidades_domesticas,38,390,1,850,18,21,15
6b017e0d95d8765a6f2bed3bc272c61e,fashion_underwear_e_moda_praia,39,422,1,250,36,4,20
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11
68bfdbfe84f03af17733b10362f10020,moveis_decoracao,63,244,4,600,29,12,23
f4d705aa95ccca448e5b0deb6e5290ba,cama_mesa_banho,57,74,1,250,20,2,15
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45,1003,2,400,18,11,11
e10758160da97891c2fdcbc35f0f031d,,,,,2200,16,2,11
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52,424,1,175,22,11,15
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53,579,1,675,22,24,21
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
b0cd550945da1de6eb9cb69595d540df,esporte_lazer,55,1392,1,900,16,16,16
ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,50,171,1,1450,45,10,15
a963ea4d494221de09b70f1b4a70edbd,informatica_acessorios,58,240,1,150,35,8,11
84db874a1a2d895b0eece26cc9bb3dd3,cool_stuff,55,418,2,1250,36,16,24
464383c22e65860826cf78650fe0f4e4,consoles_games,49,781,5,200,16,16,16
121b9686b9929855d823981fc655a6fe,utilidades_domesticas,55,747,1,6250,53,23,28
6c90c0f6c2d89eb816b9e205b9d6a36a,informatica_acessorios,41,260,1,775,21,18,26
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13
036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
bcac2cdcd851929a5caa3e1508d5abc9,utilidades_domesticas,45,928,1,800,39,6,28
eb6913790ee61d3d4d8dffcbbedea827,pet_shop,57,1268,2,102,20,6,13
2f763ba79d9cd987b2034aac7ceffe06,eletronicos,45,1198,2,595,8,6,6
a93ad122024312ca432da7f7b32474b4,cama_mesa_banho,48,267,1,1588,48,12,44
4834f24983a4f056e5ae64265f723aaf,eletronicos,52,468,3,230,16,14,15
a8115d34a4b7b74388da609692162c37,informatica_acessorios,34,1080,2,250,41,2,29
9f69acd4da62618a3f6365b732d00ccd,,,,,850,27,13,21
e2acf075e3634e6f0c26e4e88c1bf9d7,moveis_sala,33,332,1,6750,54,18,53
b5c114b11d53b6fd85a6a90790f0b479,utilidades_domesticas,30,678,3,267,24,15,12
31a2f42a87890f87d77daebdfabc182e,brinquedos,58,419,5,1700,30,35,25
8cab8abac59158715e0d70a36c807415,esporte_lazer,56,1392,4,1050,40,20,30
e71435b372f90893385344e8be3a7696,utilidades_domesticas,43,2372,1,1350,44,11,25
d0fb1e667e989933a80444f93da833c0,utilidades_domesticas,47,390,3,525,18,19,16
acef497c1130f71ccfe63aaa1c9a607d,beleza_saude,53,2496,1,200,16,6,11
bf06a69bb27c58156391de458700f3e7,relogios_presentes,60,272,5,300,16,2,11
165948b2c41e846df7d09b56826a747f,fashion_bolsas_e_acessorios,55,89,1,200,16,2,11
fc13bac52be6640d9a77f54894e2c0e6,beleza_saude,42,1158,1,550,17,9,13
2381a3052dd37f97e616bf160467acae,relogios_presentes,39,615,1,530,18,9,13
